"lesson_number","lesson_title","source_page","hebrew","transliteration","english_gloss","grammar_and_forms"
"3","שְׁוָא (Shava)","29","יהוה","YHWH","YHWH","divine name; unpronounceable as printed"
"3","שְׁוָא (Shava)","29","אָדוֹן / אֲדֹנָי","adon / Adonai","master, lord; Lord (of God)","noun M; אֲדֹנָי used for God"
"3","שְׁוָא (Shava)","29","אֱלֹהִים","elohim","God, gods","noun M; morphologically plural"
"5","Subject Pronouns: Singular","32","הוּא","hu","he","independent pronoun 3ms"
"5","Subject Pronouns: Singular","32","הִיא","hi","she","independent pronoun 3fs"
"5","Subject Pronouns: Singular","32","אַתָּה","atta","you","independent pronoun 2ms"
"5","Subject Pronouns: Singular","32","אַתְּ","at","you","independent pronoun 2fs"
"5","Subject Pronouns: Singular","32","אֲנִי","ani","I","independent pronoun 1cs"
"5","Subject Pronouns: Singular","32","דָּבָר (דְּבָרִים)","davar (devarim)","word, thing","noun M; plural shown"
"5","Subject Pronouns: Singular","32","כֵּן","ken","yes; thus, so","adverb"
"5","Subject Pronouns: Singular","32","לֹא","lo","no, not","negative particle"
"5","Subject Pronouns: Singular","32","שָׁלוֹם","shalom","peace; greeting","noun M"
"6","Copular Clauses","34","אִישׁ (אֲנָשִׁים)","ish (anashim)","man","noun M; irregular plural shown"
"6","Copular Clauses","34","אִשָּׁה (נָשִׁים)","isha (nashim)","woman","noun F; irregular plural shown"
"6","Copular Clauses","34","נַעַר (נְעָרִים)","na'ar (ne'arim)","young man","noun M; plural shown"
"6","Copular Clauses","34","נַעֲרָה (נְעָרוֹת)","na'ara (ne'arot)","young woman","noun F; plural shown"
"6","Copular Clauses","34","הָיָה","haya","was","verb 3ms"
"6","Copular Clauses","34","הָיְתָה","hayeta","was","verb 3fs"
"6","Copular Clauses","34","מִי","mi","who?","interrogative"
"6","Copular Clauses","34","שֵׁם (שֵׁמוֹת)","shem (shemot)","name","noun M; plural shown"
"7","Nouns: Singular","36","אָב (אָבוֹת)","av (avot)","father","noun M; irregular plural shown"
"7","Nouns: Singular","36","אֵם (אִמּוֹת)","em (immot)","mother","noun F; irregular plural shown"
"7","Nouns: Singular","36","בֵּן (בָּנִים)","ben (banim)","son","noun M; irregular plural shown"
"7","Nouns: Singular","36","בַּת (בָּנוֹת)","bat (banot)","daughter","noun F; irregular plural shown"
"7","Nouns: Singular","36","זָכָר","zakhar","male","noun M"
"7","Nouns: Singular","36","נְקֵבָה","neqeva","female","noun F"
"7","Nouns: Singular","36","אֲדָמָה (אֲדָמוֹת)","adama (adamot)","ground","noun F; plural shown"
"7","Nouns: Singular","36","בְּרִית (בְּרִיתוֹת)","berit (beritot)","covenant","noun F; plural shown"
"8","The Article הַ and the Interrogative הֲ","38","בַּיִת (בָּתִּים)","bayit (battim)","house","noun M; irregular plural shown"
"8","The Article הַ and the Interrogative הֲ","38","מָה","ma","what?","interrogative"
"9","לְ of Possession: Singular","39","לוֹ","lo","he has; his; to/for him","לְ + 3ms"
"9","לְ of Possession: Singular","39","לָהּ","lah","she has; hers; to/for her","לְ + 3fs"
"9","לְ of Possession: Singular","39","לְךָ","lekha","you have; yours; to/for you","לְ + 2ms"
"9","לְ of Possession: Singular","39","לָךְ","lakh","you have; yours; to/for you","לְ + 2fs"
"9","לְ of Possession: Singular","39","לִי","li","I have; mine; to/for me","לְ + 1cs"
"9","לְ of Possession: Singular","39","אֶרֶץ (אֲרָצוֹת)","erets (aratsot)","land, earth","noun F; plural shown"
"9","לְ of Possession: Singular","39","מֶלֶךְ (מְלָכִים)","melekh (melakhim)","king","noun M; plural shown"
"10","Nouns: Plural and Dual","41","יָד (יָדַיִם)","yad (yadayim)","hand(s)","noun F; dual shown"
"10","Nouns: Plural and Dual","41","אֹזֶן (אָזְנַיִם)","ozen (oznayim)","ear(s)","noun F; dual shown"
"10","Nouns: Plural and Dual","41","עַיִן (עֵינַיִם)","ayin (einayim)","eye(s)","noun F; dual shown"
"10","Nouns: Plural and Dual","41","אָח (אַחִים)","ach (achim)","brother(s)","noun M; irregular plural shown"
"10","Nouns: Plural and Dual","41","אָחוֹת (אֲחָיוֹת)","achot (achayot)","sister(s)","noun F; plural shown"
"10","Nouns: Plural and Dual","41","רֹאשׁ (רָאשִׁים)","rosh (rashim)","head(s)","noun M; irregular plural shown"
"10","Nouns: Plural and Dual","41","רֶגֶל (רַגְלַיִם)","regel (raglayim)","foot/feet","noun F; dual shown"
"11","Subject Pronouns: Plural","44","הֵם","hem","they","independent pronoun 3mp"
"11","Subject Pronouns: Plural","44","הֵן","hen","they","independent pronoun 3fp"
"11","Subject Pronouns: Plural","44","אַתֶּם","attem","you","independent pronoun 2mp"
"11","Subject Pronouns: Plural","44","אַתֶּן","atten","you","independent pronoun 2fp"
"11","Subject Pronouns: Plural","44","אֲנַחְנוּ","anachnu","we","independent pronoun 1cp"
"11","Subject Pronouns: Plural","44","עִיר (עָרִים)","ir (arim)","city/cities","noun F; plural shown"
"11","Subject Pronouns: Plural","44","כֹּל / כָּל־","kol / kol-","all, every","alternate independent/maqqef forms shown"
"11","Subject Pronouns: Plural","44","הָיוּ","hayu","were","verb 3cp"
"11","Subject Pronouns: Plural","44","עֶבֶד (עֲבָדִים)","eved (avadim)","servant(s)","noun M; plural shown"
"12","יֵשׁ and אֵין","46","מָקוֹם (מְקוֹמוֹת)","maqom (meqomot)","place","noun M; plural shown"
"12","יֵשׁ and אֵין","46","שָׁם","sham","there","adverb"
"13","Conjunction וְ and Prepositions בְּ, כְּ, לְ, and מִן","48","מַיִם","mayim","water","noun M; only plural"
"13","Conjunction וְ and Prepositions בְּ, כְּ, לְ, and מִן","48","יָם (יַמִּים)","yam (yammim)","sea","noun M; plural shown"
"13","Conjunction וְ and Prepositions בְּ, כְּ, לְ, and מִן","48","עִם","im","with","preposition"
"13","Conjunction וְ and Prepositions בְּ, כְּ, לְ, and מִן","48","שָׁמַיִם","shamayim","heavens","noun M; only plural"
"13","Conjunction וְ and Prepositions בְּ, כְּ, לְ, and מִן","48","עַל","al","upon, over","preposition"
"13","Conjunction וְ and Prepositions בְּ, כְּ, לְ, and מִן","48","לִפְנֵי","lifne","before","preposition"
"14","שְׁאֵלוֹת (Questions)","51","מִי","mi","who?","interrogative; reviewed from L6"
"14","שְׁאֵלוֹת (Questions)","51","מָה","ma","what?","interrogative; reviewed from L8"
"14","שְׁאֵלוֹת (Questions)","51","לָמָּה / מַדּוּעַ","lamma / maddua","why?","interrogatives"
"14","שְׁאֵלוֹת (Questions)","51","בַּמֶּה / אֵיךְ","bamme / ekh","how?","interrogatives"
"14","שְׁאֵלוֹת (Questions)","51","כַּמָּה","kamma","how much? how many?","interrogative"
